Facility Name,Facility Address,Nitrogen Oxides,PM10,PM2.5,Volatile Organic Compounds
DEER CREEK BUILDING,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
DEFENSE FINANCE AND ACCOUNTING SVC,6760 E IRVINGTON PL,1.59,0.12,0.12,0.09
DEL NORTE MUNI & CO,Unknown,0.04145,0.0719923,0.055347,0.0909307
DELTA COUNTY MEMORIAL HOSPITAL,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
DELTA MUNICIPAL LIGHT & POWER (CITY OF,1133 MAIN ST,5.96001,0.057401,0.057401,0.172201
DELTA OILFIELD TANK COMPANY; LLC,2550 E BIJOU AVE,5.25,7.1578,6.00737,45.0001
DELTA PETROLEUM - BUZZARD CREEK 1K,NESW SEC 1 T9S R93W,1.83516,0.06,0.06,1.52685
DELTA PETROLEUM - NORTH VEGA 2B,NESW SEC 22 T9S R93W,6.022511,0.2,0.2,3.3201
DELTA PETROLEUM CORP - NORTH VEGA 5A,NWNW SEC 24 T9S R93W,1.882836,0.06,0.06,1.3826
DELTA PETROLEUM CORP - OTIS CS,SWSW SEC 36 T5N R50W,7.7,0.1424,0.1424,2.3
DELTA ROCKY MOUNTAIN,9155 BOSTON ST,12.18,0.682598,0.682598,0.529977
DENTSPLY FRIADENT CERAMED AND CERAMED CO,12860 W CEDAR DR STE 110,0.0075,0.01175,0.00947,0.0075
DENVER ANIMAL DISPOSAL SERVICE,9892 TITAN PARK CIR STE 7,0.356,1.098,0.934784,0.03
DENVER ARTCC,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
DENVER COCA COLA BOTTLING CO,3825 YORK ST,9.0175,0.68533,0.68533,1.965765
DENVER DUMB FRIENDS LEAGUE,2080 S QUEBEC ST,0.7,1.184,1.008,2
DENVER ELECTRIC MOTOR,1300 E 58TH AVE,0.013029,0.37627,0.335371,0.3216
DENVER FEDERAL CENTER; BUILDING 810,DENVER FEDERAL CENTER,25.92182,0.048002,0.048002,5.327946
DENVER HEALTH,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
DENVER HEALTH & GENERAL HOSPITAL,777 BANNOCK ST,0.45094,0.027358,0.02617155,1.063889
DENVER INTERMODAL,Unknown,37.657,1.06589,1.03392,2.60981
Denver Intl,Unknown,3151.199179,72.76920153,70.28392573,625.5851415
DENVER MORTUARY SERVICE,8578 W 32ND AVE,1.1036,1.4198,1.208748,0.093
DENVER MUSEUM OF NATURE & SCIENCE,2001 COLORADO BLVD,5.214245,0.860264,0.73665835,0.243921
DENVER NEWS PAPER AGENCY,5990 WASHINGTON ST,4.37,0.520002,0.520002,35.464306
DENVER PET CEMETERY,5721 E 72ND AVE,0.8898,1.248125,1.218198,0.1415
DENVER POLICE DEPARTMENT-DISTRICT 3,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
DENVER REGIONAL/FRONT RANGE LANDFILL,1441 COUNTY ROAD 6,56.07,77.77,47.5409,75.02
DENVER WATER,1600 W 12TH AVE,1.6517,0.048174,0.048174,0.044183
DENVER WATER - HIGHLANDS PUMP STATION,2701 E COUNTY LINE RD,8.23002,0.06,0.06,0.37
DENVER WATER - KENDRICK PUMP STATION,9380 W JEWELL AVE,1.69,0.1045,0.1045,4.65
DENVER WATER - LONE TREE PUMP STATION,7700 CHAPARRAL RD,8.23002,0.06,0.057353,0.37
DENVER WATER - MARSTON TREATMENT PLANT,6100 W QUINCY AVE,2.562168,0.112642,0.112642,5.026876
DENVER WATER DEPT - FOOTHILLS PLANT,6730 N RAMPART RANGE RD,3.4,1.8825,0.470625,0.92
DENVER WATER DEPT-GREEN MTN PUMP STN,13100 W. JEWEL AVE.,3.156,0.09205,0.087989,0.084423
DENVER WEST MARRIOTT,1717 DENVER WEST BLVD,2,0.1445,0.1445,0.10914
DENVER ZOOLOGICAL GARDENS,2900 E 23RD AVE,0.1404,0.277056,0.235872,0.1404
DEVELOPMENT ENGINEERING INC,1354 COUNTY ROAD 246,0.98891,0.056485,0.0319725,0.684135
DEWITT TABLER FUNERAL DIRECTORS; LLC,12114 GRANT CIR,0.356,0.663,0.663,0.03
DICAPERL MINERALS - ANTONITO PLANT,4674 STATE HIGHWAY 285,8.347975,15.97488,9.929635,0.462863
DIETRICHS,Unknown,0.00279695,0.0101852,0.00702779,0.0064749
DISH NETWORK,9601 S Meridian Blvd,20.3988,0.118256,0.113038,2.95636
DISH NETWORK - RIVERFRONT,5701 S SANTA FE DR,9.856,0.3,0.3,0.3
DISH NETWORK - THORNTON,675 E 124TH AVE,6.4736,0.2023,0.2023,0.18207
DJ SIMMONS - COMPRESSOR 1,SE/SW SEC 30 T39N R19W,14.0527,0.00828,0.00828,11.49987
DOCTORS MESA,Unknown,0.00432315,0.0157429,0.0108626,0.010008
DODSWORTH,Unknown,0.00279078,0.0101627,0.00701227,0.0064606
DORAL/TELLURIDE,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
DOUBLETREE HOTEL,3203 QUEBEC ST,0.0302,0.002125,0.002125,0.001605
DOVE CREEK,Unknown,0.01631925,0.0265341,0.02067178,0.0356851
DPIX; LLC,1635 AEROPLAZA DR,8.745,0.6,0.6,21.059875
DPS ABRAHAM LINCOLN,2285 S FEDERAL BLVD,2.24,0.048,0.048,0.0448
DPS EAST HIGH,1545 DETROIT ST,1.47,0.0315,0.0315,0.0294
DPS GOVE,4050 E 14TH AVE,1.47,0.0315,0.0315,0.0294
DPS HENRY,3005 S GOLDEN WAY,1.05,0.0315,0.0315,0.05565
DPS HILL JR,451 CLERMONT ST,1.96,0.042,0.042,0.0392
DPS KENNEDY,2855 S LAMAR ST,1.68,0.036,0.036,0.0336
DPS MARTIN LUTHER KING,19535 E 46TH AVE,1.61,0.0345,0.0345,0.0322
DPS NORTH HIGH,2960 N SPEER BLVD,2.31,0.0495,0.0495,0.0462
DPS OPPORTUNITY,1250 WELTON ST,1.89,0.0405,0.0405,0.0378
DPS SOUTH HIGH,1700 E LOUISIANA AVE,1.68,0.036,0.036,0.0336
DPS THOMAS JEFFERSON,3950 S HOLLY ST,1.75,0.0375,0.0375,0.035
DRINKWINE FAMILY MORTUARY,999 W LITTLETON BLVD,0.2064,0.1392,0.118508,0.008
DRY PEN,Unknown,0.00283562,0.010326,0.00712497,0.00656443
Durango-La Plata County,Unknown,29.87414968,3.312465187,2.792334981,13.09267207
E.P.M.C.,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
Eads Muni,Unknown,0.0865009,0.1492017,0.1148608,0.1896944
Eagle County Regional,Unknown,36.10904606,3.295098295,2.947715079,7.754198095
EAGLE SOARING,Unknown,0.0000325,0.00011835,8.16615E-05,0.000075237
EAST CHERRY CREEK VALLEY WATER & SANITAT,25000 SMITH RD,4.92725,0.04106,0.039249,0.098545
EAST CHEYENNE GAS STORAGE FACILITY,C SEC 7 T11N R52W,154.39,8.97752,8.97752,113.40216
EAST MOORE FIELD,Unknown,0.00516978,0.0188259,0.0129899,0.0119679
EAST MORGAN COUNTY HOSPITAL,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
EAST YARD GRAND JUN*,Unknown,187.987,5.32102,5.16139,13.0284
EASTERN COLORADO AGGREGATES,32340 Hwy 50,100.02455,6.896195,6.089225,6.542348
EASTMAN KODAK,9952 EASTMAN PARK DR,87.44,2.4648,2.430758,123.639
EASTON/VALLEY VIEW/,Unknown,0.094650071,0.153671565,0.119761345,0.20668066
EASTWOOD PRINTING & PUBLISHING CO,2901 BLAKE ST,0.2417,0.0184,0.0184,5.444
EDEN RANCH,Unknown,0.0000325,0.00011835,8.16615E-05,0.000075237
EDENWAY,Unknown,0.0000325,0.00011835,8.16615E-05,0.000075237
EGNAR,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
EL DORADO CREMATORY- SPRINGS FUNERAL SER,3115 E PLATTE AVE,1.55928,2.04108,1.73768,0.1314
EL PASO CNTY - CENTRAL HEATING & COOLING,50 E COSTILLA ST,2.6,0.2,0.2,0.1
ELAM CONST INC VAGNEUR PIT,7911 UPPER RIVER RD,6.875,20.466531,5.550408,4
ELAM CONSTRUCTION - V-855,2353 RIVER ROAD,8.25,7.248838,1.805049,4.8
ELAM CONSTRUCTION INC-CRAIG HMA PLT,1848 E 1ST ST,5.5,4.3,1.007813,3.2
ELBERT COUNTY,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
ELIZABETH EMERGENCY,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
ELK MOUNTAIN RESORT,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
ELK PARK RANCH,Unknown,0.0000325,0.00011835,8.16615E-05,0.000075237
EMANCIPATION HILL,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
ENCANA - A02 498 PAD,NE NE SEC 2 T4S R98W,2.52,0.0115,0.0115,0.03404
ENCANA - FREDERICKSON 1,SE NE SEC 28 T3N R68W,2.416317,0.0103,0.0103,2.07725
ENCANA - LIBERTY CDP J25 496,NWSE SEC 25 T4S R96W,15.1831,0.30825,0.30825,7.520572
ENCANA - M11 498 PAD,SW SW SEC 11 T4S R98W,2.5415,0.0115,0.0115,0.03404
ENCANA - PLATEAU CREEK,SW SW SEC 21 T10S R96W,19.73815,0.8,0.8,11.24225
ENCANA - RIFLE BOOSTER STATION,SW NE SEC 13 T6S R94W,43.52,1.329586,1.329586,41.731476
ENCANA - SOUTH MIDDLE FORK WTF,SWNW SEC 34 T6S R96W,84.87,4.02,4.02,82.59362
ENCANA - STORY GULCH C.S.,SEC 34 T4S R96W AND,155.065728,0.000098,0.000067,236.40625
ENCANA - VESSELS MINERAL E 1&23-19,NWSW SEC 19 T1N R68W,2.796607,0.0103,0.004635,2.45384
ENCANA - WHITE RIVER FED M-17,SW SW SEC 17 T2N R96W,8.5,0.024,0.024,0.03
ENCANA - WIGGETT BATTERY,NWNE SEC 13 T1N R69W,2.329257,0.0103,0.0103,0.242034
ENCANA - WRD FEE A-29,NENE SEC 29 T2N R96W,1.7,0.0175,0.0175,0.5
ENCANA (WEST) - DIVIDE CREEK 25-2C,NWNE SEC 25 T7S R92W,7.84023,1.07923,1.07923,1.37004
ENCANA (WEST) - DTU 1158X,SW SE SEC 27 T2S R102W,3.25,0.016,0.016,0.42
ENCANA (WEST) - DTU 4032,SW NE SEC 30 T2S R102W,3.25,0.016,0.016,0.42
ENCANA (WEST) - F11E,SENW SEC 11 T7S R92W,2.20448,0.0095,0.0095,3.760553
ENCANA (WEST) - GASAWAY 6206 WELL,NENE SEC 27 T6S R99W,3,0.025,0.025,1
ENCANA (WEST) - HH9145 (SAME 103-0250??),NE NE SEC 14 T2S R104W,1.84,0.0085,0.0085,0.02
ENCANA (WEST) - LHDU 2111,SWNE SEC 26 T2S R103W,20,0.0318,0.0318,1
ENCANA (WEST) - LHDU 2194,NESW SEC 26 T2S R103W,20,0.0318,0.0318,1
ENCANA (WEST) - M1E (001),SW SW SEC 1 T7S R92W,2.205069,0.0095,0.0095,10.741085
ENCANA OIL - EAST DRAGON TRAIL CS,NWSE SEC 36 T2S R102W,34.66438,0.52895,0.52895,22.9322
ENCANA OIL & GAS - DRAGON TRAIL,3606 COUNTY ROAD 116,431.03512,13.91315,13.91315,99.331465
ENCANA OIL & GAS - F21OU INJECTION WELL,SEC 21 TT8S R96W,4.10056,0.144,0.144,1.39419
ENCANA OIL & GAS - FFR A11-498-8002B BAT,NENE SEC 11 T4S R98W,2.5415,0.0115,0.0115,5.1351
ENCANA OIL & GAS - FFR A16-498-8002D BAT,NWNE SEC 15 T4S R98W,2.5415,0.0115,0.0115,9.91999
ENCANA OIL & GAS - FFR B15-498-8003D BAT,NWNE SEC 15 T4S R98W,4.84155,0.0115,0.0115,3.33681
ENCANA OIL & GAS - FFR J11-498-8010D BAT,NWSE SEC 11 T4S R98W,2.5415,0.0115,0.0115,7.08989
ENCANA OIL & GAS - FFR P16-498-8016B BAT,SESE SEC 16 T4S R98W,2.5415,0.0115,0.0115,2.915
ENCANA OIL & GAS - HIGH MESA COMP STATIO,SENW SEC 36 T7S R96W,99.45358,1.9882,1.9882,262.56668
ENCANA OIL & GAS - PARK CANYON WEST,SE/SE SEC 26 T2S R104W,48.83,0.4315,0.4315,40.98959
ENCANA OIL & GAS - TEMP LIVING QUARTERS,NWSE SEC 13 T4S R96W,87.9,0.897,0.897,1.20001
ENCANA OIL & GAS (USA); INC-W DOUGLAS CR,SW SW SEC 5 T3S R101W,32.2,3.34,3.34,97.11
ENCANA OIL & GAS (USA); INC. - CORRAL CR,SE SE SEC 17 T2S R99W,2.1,0.0352,0.0352,21.1836
ENCANA OIL & GAS (USA); INC. - CORRAL CR,SE/SW SEC 36 T1S R100W,2.6,0.045,0.045,1.7
ENCANA OIL & GAS (USA); INC. - CR 109 CS,SE/4 NE/4 SEC 25 T2S R103W,2.81,0.04,0.04,1.03
ENCANA OIL & GAS (USA); INC. - DRAGON TR,NW NE SEC 33 T2S R102W,1,0.003876,0.003876,0.1
ENCANA OIL & GAS (USA); INC. - DRAGON TR,NW NE SEC 36 T2S R103W,4.6,0.004322,0.004322,0.3
ENCANA OIL & GAS (USA); INC. - DRAGON TR,NW/SW SEC 24 T2S R103W,3,0.010659,0.010659,0.2
ENCANA OIL & GAS (USA); INC. - DRAGON TR,SE NW SEC 36 T2S R103W,3,0.00281,0.00281,0.2
ENCANA OIL & GAS (USA); INC. - DRAGON TR,"SE/NW SEC 29, T2S, R102W",3,0.000087,0.000087,0.2
ENCANA OIL & GAS (USA); INC. - DRAGON TR,SE/SE SEC 24 T2S R103W,4.6,0.015989,0.015989,0.3
ENCANA OIL & GAS (USA); INC. - DRAGON TR,SW NE SEC 24 T2S R103W,3,0.010659,0.010659,0.2
ENCANA OIL & GAS (USA); INC. - DRAGON TR,SW SW SEC 20 T2S R102W,1,0.000031,0.000031,0.1
ENCANA OIL & GAS (USA); INC. - DRAGON TR,SW/NE SEC 26 T2S R103W,7.5,0.1025,0.1025,7.3
ENCANA OIL & GAS (USA); INC. - DRAGON TR,SW/NW SEC 21 T2S R102W,1,0.004,0.004,0.1
ENCANA OIL & GAS (USA); INC. - DRAGON TR,SW/SE SEC 33 T2S R102W,1,0.0056,0.0056,0.1
ENCANA OIL & GAS (USA); INC. - DRGN1306,SE/NW SEC 25 T2S R103W,2.3,0.01,0.01,0.2
ENCANA OIL & GAS (USA); INC. - HORSE DRA,NE/NE SEC 34 T2S R103W,5.76922,0.125,0.125,3.46154
ENCANA OIL & GAS (USA); INC. - HORSE DRA,NE/SW SEC 26 T2S R103W,4.465,0.095,0.095,2.47
ENCANA OIL & GAS (USA); INC. - LOWER HOR,SW/SW SEC 26 R2S T103W,14.1,0.004532,0.004532,0.62
ENCANA OIL & GAS (USA); INC. - SW RANGEL,NW/NW SEC 25 T1S R103W,1,0.000974,0.000974,0.1
ENCANA OIL & GAS (USA); INC.- W DRAGON T,SEC 19 T2S R102W,60.19,0.5364,0.5364,37.956499
ENCANA OIL &GAS- NMP O03 WELL HEAD BOOST,SW SE SEC 3 T5S R96W,62.14,1.40135,1.398224,9.6
ENCANA WEST - DIVIDE CREEK 21 WE,SW/SE SEC 9 T8S R91W,8.4,0.0325,0.0325,1.1
ENCANA- HUNTER CREEK SOUTH 8401,SWNE SEC 11 T5S R98W,2.5415,0.0115,0.0115,2.45005
ENERGY ALTERNATIVES - TARGET STORE T0064,2800 PEARL ST,1.63944,0.006521,0.006518,0.009777
ENERGY ALTERNATIVES - TARGET STORE T0271,1950 E COUNTY LINE RD,1.7317,0.006893,0.006885,0.010328
ENERGY ALTERNATIVES - TARGET STORE T1471,14200 E ELLSWORTH AVE,1.69597,0.050879,0.050879,0.033918
ENERGY ALTERNATIVES - TARGET STORE T1976,7400 SOUTH GARTRELL ROAD,2.10176,0.008988,0.008988,0.022815
ENERGY ALTERNATIVES - TARGET STORE T2021,5071 KIPLING ST,1.69592,0.050879,0.050879,0.033918
ENERGY ALTERNATIVES - TARGET STORE T2023,10001 COMMONS ST,2.10176,0.008988,0.008988,0.022815
ENERGY ALTERNATIVES - TARGET STORE T2052,7930 NORTHFIELD BLVD,2.09969,0.008979,0.008979,0.022793
ENERGY ALTERNATIVES - TARGET STORE T2183,2171 PRAIRIE CENTER PKWY,1.696,0.050879,0.050879,0.224716
ENERGY ALTERNATIVES - TARGET STORE T2458,15700 E BRIARWOOD CIR,1.27653,0.006903,0.006903,0.032881
ENERGY FUELS RES- WHIRLWIND MINE,SE SW SEC 36 T51N R20W,12.07,12.31,9.14394,0.9
ENGLEWOOD FED CORRECTIONAL INST / UNICOR,9595 W QUINCY AVE,20.21398,1.09488,1.0722503,1.347262
ENTEK GRB; LLC - CF&I 1,SW/4 SEC 13 T12N R89W,48.5,1.144,1.144,41.73076
ENTENMMANS OROWEAT FOODS CO,5050 E EVANS AVE,2.1841,0.113071,0.113071,8.585157
ENTERPRISE GAS PROC - MEEKER GAS PLANT,SEC 18 & 19 T1S R97W,138.72801,26.4,26.4,317.662263
ENTERPRISE GAS-PICEANCE DEV. PROJECT,NW SEC 28 T2S R97W,93.1846,4.54377,4.54377,208.64352
ENTERPRISE PRODUCTS OP- JACKRABBIT CS,N SW SEC 33 T5S R96W,194.0751,0.014,0.014,141.907111
EOG RESOURCES - CRITTER CREEK 16-20H,NWNW SEC 20 T11N R63W,4,1,1,98.6626
EP ENERGY E&P COMPANY; L.P. - VPR C2 CS,NE/4 SEC 27 T34S R66W,4.79857,0.19015,0.19015,2.41161
EP ENERGY E&P COMPANY; L.P. - VPR C3 CS,NWNE SEC 27 T34S R66W,4.79857,0.19015,0.19015,2.40984
EQUITY OFFICE CO (WAS SHORENSTEIN CO),6200 S QUEBEC ST,4.8312,0.36,0.205063,0.0972
Erie Municipal,Unknown,3.08852,5.32575,4.10018,6.77296
ERTEL INC./ERTEL FUNERAL HOME,101 N MARKET ST,0.006,0.033,0.028095,0.15
ETC CANYON PIPELINE - BAR X C.S.,NE SE SEC 21 T9S R104W,12.2,0.376,0.376,20.48038
ETC CANYON PIPELINE - GREASEWOOD,SW SEC 5 T2S R96W,7.008,0.11,0.11,17.58
ETC CANYON PIPELINE - N. DOUGLAS CREEK,NE SEC 19 T1S R101W,72.17,1.82,0.832575,54.11839
ETC CANYON PIPELINE - PREMIER BAR X,NE NE  SEC 31 T8S R104W,73.32,1.34,1.34,7.82
ETC CANYON PIPELINE - RIFLE C.S.,NE NE SEC 13 T6S R94W,238.8775,4.728,4.7275,92.78025
ETC CANYON PIPELINE - S CANYON FACILITY,NE SW SEC 3 T8S R104W,4.09,0.082425,0.078091,2
ETC CANYON PIPELINE -PREMIER DEBEQUE,NW SE SEC 29 T8S R97W,76.042,0.998,0.998,43.372777
ETC CANYON PIPELINE- CATHEDRAL C.S.,SEC 11 T3S R101W,10.77,0.0203,0.0203,0.63
ETC CANYON PIPELINE-FOUNDATION CREEK,SE NE SEC 26 T4S R102W,73.05,0.58,0.58,69.47475
EVERETT FAMILY FUNERAL HOME & CREMATORY,305 MCGREGOR DR,0.614016,1.229904,1.04708,0.30888
EVERGREEN MEMORIAL PARK INC,26624 N TURKEY CREEK RD,0.75641,0.142617,0.121417,0.021462
EVERGREEN PARK MAUSOLEUM/SHRINE OF ...,1730 E FOUNTAIN BLVD,0.82,0.14,0.119189,0.01
EVERGREEN VETERINARY HOSP,32175 CASTLE CT,0.02225,0.029313,0.024956,0.001875
EVERIST MATERIALS LLC - MARYLAND CREEK,28755 HIGHWAY 9,4.8125,31.738052,9.556416,3.61638
EVERITT,Unknown,0.0105999,0.0385999,0.0266339,0.0245385
EXEMPLA GOOD SAMARITAN,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
EXEMPLA GOOD SAMARITAN MEDICAL CENTER,200 EXEMPLA CIR,2.96,0.58,0.506087,0.3
EXEMPLA HEALTHCARE- DATA CENTER,11100 W 8TH AVE,0.4004,0.0198,0.018927,0.099
EXEMPLA LUTHERAN MEDICAL CENTER,8300 W 38TH AVE,8.12385,0.614325,0.61297846,0.44151
EXXONMOBIL PRODUCTION COMPANY,SE SEC 16 T2S R97W,3.1,0.1,0.1,89
FAIRMOUNT CEMETERY COMPANY,430 S QUEBEC ST,0.106,0.188,0.174324,0.034
FALCON AFB HELIPAD,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
FAMILY FRIEND ANIMAL CARE FACILITY,3910 NIAGARA ST STE B,0.563545,0.683874,0.582217,0.024622
FARFRUMWURKIN; LLLP - FILE PIT 112 & STO,SE SE SEC 31 T2N R68W,13.59383,39.039885,11.400591,0.112203
FARNUM HOLT FUNERAL HOME,405 W 7TH ST,0.0135,0.000266,0.000227,0.0135
FARR FEEDERS INC,30130 COUNTY ROAD 49,0.4,86.4045,40.53335,0.0212
FAT CHANCE,Unknown,0.00414472,0.0150932,0.0104143,0.00959497
FEDERAL EXPRESS - CO TECH,350 SPECTRUM LOOP,88.2215,0.576768,0.576768,1.15354
FINAL PAWS,2317 H RD,0.58,0.1,0.085135,0.01
FIRESTONE BUILDING PRODUCTS,21500 E. 36TH DRIVE,0.876,0.254,0.254,47.828
FITZPATRICK,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
FIVE LIGHTS PET CREMATORY,1072 21 1/2 RD,0.63222,0.95298,0.811321,0.05485
FIVE PART DEVELOPMENT- EAST REGIONAL,80th and Schumaker Road,7.29,15.09,8.21,22.9
FLAG RESOURCES - SILT PIT,"SEC 11 T6S R92W, 6TH P.M.",1.44339,4.919781,1.23211,0.839792
FLAGLER AERIAL SPRAYING INC,Unknown,0.0668756,0.0922076,0.0744953,0.1451838
FLORENCE FED CORRECTIONAL INST / UNICOR,5880 STATE HIGHWAY 67,5.616905,0.42622,0.426156497,0.308226
FLORENCE SAND & GRAVEL; LLC,NW SEC 21 T19S R69W,1.15875,9.8047,2.995676,0.095625
FLYIN' B RANCH,Unknown,0.0032305,0.011764,0.00811715,0.00747856
FLYING DOG RANCH AIRSTRIP,Unknown,0.00277778,0.0101154,0.00697961,0.00643051
FLYING E,Unknown,0.00328412,0.0119593,0.00825189,0.0076027
FLYING LAZY D RANCH,Unknown,0.00344728,0.0125534,0.00866184,0.00798039
FLYING M & M RANCH,Unknown,0.00303485,0.0110515,0.00762555,0.00702563
FLYING M RANCH,Unknown,0.00281808,0.0102621,0.00708087,0.0065238
FLYING W NO.2,Unknown,0.00280605,0.0102183,0.00705065,0.00649596
FLYING W RANCH,Unknown,0.00280605,0.0102183,0.00705065,0.00649596
FORT CARSON USARMY (DECAM),FORT CARSON,10.716047,3.345698,3.15639028,18.160718
Fort Collins-Loveland M,Unknown,8.01141026,6.798331191,5.330079609,8.910588793
Fort Morgan Muni,Unknown,0.36924172,0.567229,0.4562481,0.75772275
FOUNTAIN VALLEY POWER - BOCA RATON,18693 BOCA RATON HTS,250.61,34.761,34.761,46.71
FOWLER,Unknown,0.0845696,0.1237479,0.0986214,0.1840514
FOX HOLE,Unknown,0.00332962,0.012125,0.00836622,0.00770803
FOXX VALLEY,Unknown,0.0034944,0.012725,0.00878024,0.00808948
FRAM OPERATING - REEDER MESA CS,NWNE SEC 34 T2S R2E,74.46,0.0108,0.0108,48.7012
FREDERICK-FIRESTONE F.S. 2,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
Fremont County,Unknown,0.58166228,1.033275,0.8618944,1.58241216
FREMONT PAVING & REDI MIX INC,839 MACKENZIE AVE,8.20212,28.364491,8.247424,1.422263
FREMONT PEAK,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
FRITO LAY INC,11645 E 37TH AVE,20.70916,21.899232,8.312591,3.50401
Front Range,Unknown,1.78625059,3.10155133,2.403224718,4.019616626
FRONT RANGE AGGREGATES - PARKDALE QUARRY,S SEC 12 & SE SEC 11 T18S R72W,4.66754,33.510204,8.726313,0.37044
FRONT RANGE ENERGY; LLC,31375 Great Western Dr,65.27,24.05,9.543703,59.43
FRONTIER HELICOPTERS,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
FRUITA CONSUMERS COOP ASSOC - FRUITA FM,248 HIGHWAY 6 AND 50,2.25443,0.171313,0.171313,0.123943
FUNERAL DIRECTOR'S SERVICE; LLC,1849 S ACOMA ST,2.37346,4.43036,3.7718,0.19855
G & K SERVICES; INC.,5100 RACE CT,1.58,0.63215,0.22215,8.30773
G W FLANDERS RANCH STRIP,Unknown,0.0000325,0.00011835,8.16615E-05,0.000075237
GANNETT CO - KUSA CHANNEL 9 - NBC,500 E SPEER BLVD,5.4,0.2,0.2,0.2
Garfield County Regiona,Unknown,0.588459844,0.541346843,0.444558414,0.759059075
GATES RUBBER CO,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
GCC RIO GRANDE - PUEBLO CEMENT PLANT,"SW S18-22S-64W, SE S13-22S-65W",867.99,136.386074,24.390613,56.554
GEARY RANCH,Unknown,0.00277485,0.0101047,0.00697226,0.00642374
GEBAUER,Unknown,0.000652475,0.001061599,0.00082694,0.0014268
GENERAL MAIL FACILITY,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
GENERAL SERVICES ADMINISTRATION,6TH AVE & KIPLING ST,6.197162,0.230531,0.230531,0.175636
GEO-SEIS HELICOPTERS,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
GLEN-ASPEN,Unknown,0.000171811,0.000295875,0.000227848,0.000376748
GLENWOOD SPRINGS MUNI,Unknown,0.62060137,0.9717053,0.7652485,1.24010092
GOLDEN ALUMINUM CO.,1405 E. 14TH ST,43.56,32.73,29.055397,52.75
GOLDEN FIELD (YELLOW HAT),Unknown,0.00277778,0.0101154,0.00697961,0.00643051
GOLTRA CASTING CO,501 MCINTYRE CIR,0.838,2.258365,1.510116,0.064244
GOODRICH CORPORATION,50 WILLIAM WHITE BLVD,36.1022,34.01541,28.16003,6.642901
GOOGLE; INC,12396 GRANT ST,0.559107,0.025877,0.025877,0.079005
Granby-Grand County,Unknown,0.0823605,0.1420202,0.1093383,0.180612
GRAND JUNCTION,Unknown,149.491,4.23139,4.10445,10.3605
GRAND JUNCTION MESA CO PERSIGO WWTP,2145 RIVER RD,1.77303,0.206854,0.193926,9.00637
GRAND RIVER GATH - EAST MAMM CREEK CS,NE NE SEC 36 T6S R93W,138.21,3.862,3.862,162.64434
GRAND RIVER GATHERING - ORCHARD CS,SW SEC 27 T7S R96W,63.2,1.065,1.065,35.0334
GRAND RIVER GATHERING - PUMBA CS,NE SEC 10 T7S R93W,98.35,3.56375,3.56375,122.76
GRAND SUMMIT RESORT HOTEL,2300 MOUNT WERNER CIR,1.54,0.11,0.11,0.13
GRAND VALLEY,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
GRAND VIEW CEMETERY,802 E MAIN ST,0.206,0.059,0.053797,0.0156
GRANITE,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
GRANITE MOUNTAIN LODGE,Unknown,0.00277712,0.010113,0.00697798,0.006429
GREELEY DAILY TRIBUNE,501 8TH AVE,3.2,0.1,0.1,4.1
GREELEY ELEC SVC INC,2509 1/2 8TH AVE,0.06,0.003,0.002674,0.009
Greeley-Weld County,Unknown,2.661259,8.637593,6.07927,6.356589
GREGGS NR 1,Unknown,0.0000325,0.00011835,8.16615E-05,0.000075237
GREYSTONE,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
GRIFFIN FIELD,Unknown,0.00342452,0.0124705,0.00860467,0.00792772
GROSVENOR,1450 INFINITE DR,7.33,0.56,0.56,0.4
GROUSE MOUNTAIN,Unknown,0.005949515,0.00609503,0.00532424,0.01278192
Gunnison County,Unknown,9.353020189,0.682440923,0.597753374,2.257907009
GUNNISON ENERGY CORP - 1-34 WELL SITE,SWSE SEC 1 T12S R90W,11.0627,0.03535,0.03535,1.03973
